steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
1,0.0001,2121,550,145.38043212890625,True,False
3,0.001,1871,1022,167.39837884902954,True,False
2,0.01,2359,1279,60.104201793670654,True,False
2,0.01,2975,430,103.37182784080505,True,False
2,0.0001,1519,2515,103.9285900592804,False,True
3,0.001,3985,666,254.24564719200134,True,False
3,0.0001,2606,546,324.85411405563354,True,False
3,0.0001,3972,648,400.2771997451782,True,False
2,0.001,2851,767,61.35554790496826,True,False
1,0.001,2051,573,27.157816886901855,True,False
1,0.001,867,3697,17.054045915603638,False,False
2,0.01,1369,3294,80.02159571647644,False,True
3,0.001,7114,425,231.69066214561462,True,False
1,0.001,791,3683,20.679261207580566,False,False
2,0.001,1801,1783,151.53102779388428,False,True
2,0.001,1571,2966,129.0224597454071,False,False
2,0.0001,1201,3291,114.83534693717957,False,False
3,0.0001,3172,2428,227.28661584854126,True,False
1,0.001,873,3639,17.286370038986206,False,False
2,0.01,1445,2054,60.225492000579834,True,False
3,0.01,1656,3270,171.82713222503662,False,True
1,0.001,1216,3007,20.775322914123535,True,False
1,0.01,561,3301,16.194034337997437,False,True
3,0.01,2141,2619,145.93424892425537,False,True
3,0.01,4272,550,186.82185411453247,True,False
2,0.001,2804,622,71.82830595970154,True,False
2,0.001,5175,389,99.3601462841034,True,False
2,0.001,3442,736,85.015221118927,True,False
1,0.001,1214,2977,16.591647148132324,True,False
1,0.0001,1691,2443,21.106343746185303,True,False
2,0.01,936,2680,35.08287692070007,False,True
3,0.0001,3791,757,516.4404261112213,True,False
2,0.001,2971,420,72.10715103149414,True,False
2,0.0001,2169,1984,68.33057808876038,True,False
3,0.0001,2651,1567,474.76919174194336,True,False
1,0.0001,1663,2491,28.216792821884155,True,False
2,0.0001,1309,3208,79.82644820213318,False,True
1,0.001,2108,538,24.650269985198975,True,False
1,0.01,1614,2536,13.450991868972778,True,False
2,0.0001,2678,1717,81.37487268447876,True,False
3,0.0001,3300,878,250.30711197853088,True,False
3,0.0001,4609,861,483.6546199321747,True,False
2,0.01,1065,3645,51.544525146484375,False,False
3,0.01,2690,313,185.44591069221497,True,False
3,0.001,3323,1435,358.869863986969,True,False
3,0.0001,2482,1513,228.74045395851135,True,False
3,0.01,149,6299,90.5389997959137,False,True
1,0.0001,2186,550,158.12298607826233,True,False
3,0.001,3917,692,429.8768129348755,True,False
3,0.01,2930,902,164.17493724822998,True,False
1,0.001,159,3248,12.80118989944458,False,False
3,0.001,2257,2334,266.6268379688263,False,True
1,0.001,1010,2943,22.061331033706665,False,False
2,0.0001,944,3032,68.5951201915741,False,True
1,0.0001,1510,2214,30.647923946380615,True,False
3,0.0001,2222,3322,258.22540187835693,True,False
1,0.0001,1648,2459,29.977365970611572,True,False
2,0.01,2771,1739,107.92715120315552,True,False
1,0.0001,444,4224,27.784791231155396,False,True
1,0.001,1224,2993,15.964561700820923,False,True
1,0.01,1463,2306,13.292051792144775,True,False
2,0.0001,1792,1780,86.38338589668274,False,True
1,0.01,2042,584,15.833899974822998,True,False
1,0.01,2097,608,10.678685903549194,True,False
2,0.01,2946,410,99.43240594863892,True,False
3,0.001,4748,765,282.0285930633545,True,False
3,0.0001,5112,613,197.20623207092285,True,False
2,0.001,2936,443,81.70387101173401,True,False
1,0.01,2196,588,11.918761968612671,True,False
1,0.01,1135,3072,12.421059846878052,False,True
2,0.001,3018,420,67.46617293357849,True,False
3,0.001,4027,838,517.3681681156158,True,False
1,0.0001,165,3291,27.414358139038086,False,False
2,0.0001,658,3084,95.0746340751648,True,False
2,0.01,3353,1290,62.259272813797,True,False
1,0.01,435,4218,12.60356879234314,False,True
2,0.001,2007,1006,120.75247621536255,True,False
3,0.001,4170,661,264.9731180667877,True,False
2,0.001,2191,2680,103.2868402004242,True,False
1,0.0001,426,4253,27.681607007980347,False,True
2,0.0001,1508,2261,111.33922815322876,False,True
2,0.0001,1421,3239,119.84732484817505,False,True
1,0.01,1619,2498,17.288843154907227,True,False
2,0.01,3515,651,32.560906171798706,True,False
1,0.01,2083,552,22.47171401977539,True,False
3,0.001,2929,715,229.2216989994049,True,False
2,0.0001,3389,948,83.67284297943115,True,False
3,0.01,6756,727,270.84415006637573,True,False
2,0.01,2020,1863,129.0220239162445,True,False
3,0.001,3367,1156,182.71575498580933,True,False
1,0.01,155,3259,11.765820026397705,False,False
2,0.0001,4118,511,86.63147687911987,True,False
1,0.01,1501,2292,30.261719942092896,True,False
2,0.0001,1513,3086,78.96790719032288,False,True
2,0.001,2086,1969,88.03727197647095,False,False
2,0.001,3919,1411,89.54405808448792,True,False
2,0.001,3174,2206,59.24561095237732,True,False
2,0.001,1600,2230,62.970053911209106,False,True
1,0.0001,824,3716,28.281037092208862,False,False
3,0.01,1593,1063,122.59069919586182,False,False
2,0.01,3947,683,70.60927414894104,True,False
3,0.0001,5451,365,262.5692069530487,True,False
3,0.0001,3061,1370,203.50912165641785,False,True
1,0.0001,1544,2304,27.603278875350952,True,False
1,0.01,862,3835,13.600530862808228,False,False
3,0.001,4744,762,242.8013780117035,True,False
2,0.0001,979,3306,96.76218128204346,False,True
3,0.01,6780,445,101.69090104103088,True,False
1,0.001,1611,2478,25.19371795654297,True,False
1,0.01,933,2923,15.118279933929443,False,False
1,0.0001,1531,2318,31.409271001815796,True,False
2,0.01,2824,1062,67.48895406723022,True,False
1,0.0001,847,3681,28.186535358428955,False,False
2,0.001,2186,682,216.2725009918213,True,False
3,0.0001,2008,1802,269.10635900497437,True,False
1,0.001,578,3379,13.852936029434204,False,True
2,0.001,3647,711,72.52557635307312,True,False
2,0.001,1235,2978,35.00529098510742,True,False
1,0.0001,160,3248,25.179219007492065,False,False
3,0.01,1899,2198,115.42417120933533,True,False
1,0.01,972,3015,15.1785249710083,False,False
1,0.001,1134,3025,20.410761833190918,False,True
3,0.01,1621,2350,136.79910922050476,False,True
1,0.01,2099,538,22.515345096588135,True,False
3,0.0001,5118,494,229.93845295906067,True,False
2,0.001,1959,1868,73.65617775917053,True,False
2,0.01,1948,1973,97.8110659122467,True,False
3,0.01,1591,2724,114.16526389122009,False,True
1,0.001,2155,529,19.043713092803955,True,False
3,0.001,3333,393,217.89526081085205,True,False
1,0.001,169,3299,22.162853002548218,False,False
3,0.01,2149,2207,95.64960503578186,True,False
2,0.01,1687,2089,48.58428621292114,False,True
1,0.0001,170,3149,18.809969902038574,False,False
2,0.01,2761,1688,53.16094994544983,True,False
2,0.01,1746,2086,83.78948998451233,True,False
1,0.001,1544,2335,34.91653561592102,True,False
2,0.001,324,3269,65.28481984138489,False,True
3,0.0001,3415,1038,212.14120411872864,True,False
1,0.001,1474,2273,27.65037202835083,True,False
1,0.01,2141,577,13.952538013458252,True,False
1,0.01,838,3734,11.09111213684082,False,False
1,0.001,1168,2998,25.522927284240723,False,True
1,0.0001,931,3023,21.220449924468994,False,False
3,0.001,2969,1112,189.2676239013672,True,False
3,0.01,1965,2278,112.44530296325684,False,True
1,0.001,1584,2480,15.814364910125732,True,False
1,0.01,653,3319,11.235415697097778,False,True
1,0.0001,423,4244,26.07746195793152,False,True
3,0.0001,2842,2058,223.9027202129364,True,False
1,0.0001,448,4250,31.07938003540039,False,True
3,0.001,3950,495,456.7878987789154,True,False
3,0.001,4181,496,207.00541305541992,True,False
1,0.0001,859,3737,26.5555362701416,False,False
1,0.001,596,3349,20.142863273620605,False,True
2,0.0001,900,2997,114.03998708724976,False,False
1,0.001,1221,3011,15.121747255325317,False,True
2,0.001,2338,1244,116.95139288902283,True,False
3,0.0001,1910,1751,206.8271107673645,False,False
3,0.0001,3338,1244,508.96655917167664,True,False
3,0.001,2115,2065,158.48305583000183,False,True
1,0.001,926,2982,22.611701011657715,False,False
1,0.01,896,3001,15.644044160842896,False,False
2,0.001,3004,434,106.57285404205322,True,False
1,0.001,857,3647,16.473429918289185,False,False
1,0.001,1572,2494,15.13412594795227,True,False
1,0.001,951,2975,18.96718692779541,False,False
2,0.0001,3588,718,95.7716269493103,True,False
2,0.01,1302,3179,86.7066638469696,False,True
3,0.0001,528,3099,194.40452313423157,False,False
3,0.01,1357,1244,118.67572093009949,True,False
1,0.001,402,4238,25.981415033340454,False,True
1,0.001,1519,2266,20.406069040298462,True,False
2,0.01,1584,2481,63.459007024765015,True,False
2,0.001,164,3265,47.703949213027954,False,False
1,0.001,1162,3161,22.875622034072876,False,True
1,0.01,847,3799,9.475879192352295,False,False
3,0.001,2946,604,379.2156810760498,True,False
2,0.001,5182,345,140.06191301345825,True,False